,Quantity,Rate,Value
Showroom,209 Pcs,959.65,200566.60
Profile U-Edge SS304 3*10mm*2.44M Rose Gold/Shiny 01-3752,113 Pcs,964.72,109013.55
Showroom,113 Pcs,964.72,109013.55
Profile U-Edge SS304 5*10mm*2.44M Silver/Shiny 01-3741,100 Pcs,390.09,39009.01
Showroom,50 Pcs,780.18,39009.01
Warehouse Satarkul,50 Pcs,,
Profile U-Edge SS304 5*5mm*2.44M Gold/Shiny 01-3753,135 Pcs,867.86,117160.71
Showroom,135 Pcs,867.86,117160.71
Profile U-Edge SS304 5*5mm*2.44M Rose Gold/Shiny 01-3753,187 Pcs,853.83,159665.56
Showroom,187 Pcs,853.83,159665.56
Profile U-Edge SS304 8*10mm*2.44M Gold/Shiny 01-3751,68 Pcs,9.06,615.95
Showroom,18 Pcs,34.22,615.95
Warehouse Satarkul,50 Pcs,,
Profile U-Edge SS304 8*10mm*2.44M Rose Gold/Shiny 01-3751,71 Pcs,775.00,55025.00
Showroom,71 Pcs,775.00,55025.00
Roller5/damper/2sliding/S.Close/opk/30kg/ 01-5914,14 Pcs,5459.00,76426.00
Showroom,4 Pcs,5459.00,21836.00
Warehouse Badda,10 Pcs,5459.00,54590.00
Roller Sliding for Inner Door/chaofan/50kg01-3335,90 Pcs,1287.46,115871.52
Showroom,38 Pcs,1304.51,49571.52
Warehouse Badda,52 Pcs,1275.00,66300.00
Roller Sliding for Outer Door/chaofan/50kg01-3335,95 Pcs,1815.46,172468.99
Showroom,25 Pcs,1858.76,46468.99
Warehouse Badda,70 Pcs,1800.00,126000.00
Roller Sliding/G.Door/s.Close Both/Chaofan 60kg 01-3415,8 Pcs,1658.07,13264.53
Showroom,8 Pcs,1658.07,13264.53
Roller Sliding/w.Door/s.Close Both/Chaofan 60kg 01-3415,-2 Pcs,2756.00,-5512.00
Showroom,-2 Pcs,2756.00,-5512.00
Roller Submarine5 Decorativ Sliding/opk30kg/01-3336,47 Pcs,1066.00,50102.00
Warehouse Badda,47 Pcs,1066.00,50102.00
Show Bit for Self Support Alu 01-3551,13 Pcs,800.00,10400.00
Warehouse Badda,13 Pcs,800.00,10400.00
Sliding Rail 2 Line U-Type 3Mtr 01-3331,497 Pcs,999.60,496800.00
Showroom,37 Pcs,,
Warehouse Satarkul,460 Pcs,1080.00,496800.00
Sliding Rail T & B 3 Mtr Alu/Silver 01-3333,147 Pcs,0.71,104.01
Showroom,12 Pcs,8.67,104.01
Warehouse Satarkul,135 Pcs,,
Sliding Rail Top U-Type 12mm*3m 01-3331,259 Pcs,22.74,5888.91
Showroom,82 Pcs,71.82,5888.91
Warehouse Satarkul,177 Pcs,,
Sliding Rail T-Type 3Mtr 01-3330,362 Pcs,4.95,1793.60
Showroom,12 Pcs,149.47,1793.60
Warehouse Satarkul,350 Pcs,,
Sliding Rail U-Type 3Mtr 01-3331,946 Pcs,258.86,244883.32
Showroom,46 Pcs,1.81,83.32
Warehouse Satarkul,900 Pcs,272.00,244800.00
Sliding Rail  V-Type 3Mtr 01-3332,260 Pcs,61.15,15900.00
Showroom,53 Pcs,300.00,15900.00
Warehouse Satarkul,207 Pcs,,
Sliding Wheel MS Group 01-3330,90 Pcs,14.86,1337.11
Showroom,90 Pcs,14.86,1337.11
Sliding Wheel SS Group 01-3330,-4 Pcs,124.90,-499.59
Showroom,-4 Pcs,124.90,-499.59
Sliding Wheel U-Type 01-3331,720 Pcs,50.10,36072.72
Showroom,240 Pcs,20.34,4882.50
Warehouse Badda,480 Pcs,64.98,31190.22
Sliding Wheel U-Type/Chaofan/30kgs 01-3331,489 Pcs,35.91,17559.99
Showroom,249 Pcs,8.84,2199.99
Warehouse Badda,240 Pcs,64.00,15360.00
Sliding Wheel  V-Type 01-3332,458 Set,60.00,27480.00
Showroom,458 Set,60.00,27480.00
Submarine Roller 4/shutter/s.Close/opk/30kg/01-5913,109 Pcs,1809.00,197181.00
Showroom,10 Pcs,1809.00,18090.00
Warehouse Badda,99 Pcs,1809.00,179091.00
T-Channal 25*1.5M Shining 01-3604,40 Pcs,128.00,5120.00
Showroom,40 Pcs,128.00,5120.00
T-Channal Round Type 10x2.44m Shining 01-3605,1 Pcs,120.85,120.85
Showroom,1 Pcs,120.85,120.85
T-Channel Flat 12*2.44M Shining 01-3602,13 Pcs,89.69,1166.00
Showroom,13 Pcs,89.69,1166.00
T-Channel Flat 18*2.44M Shining 01-3602,10 Pcs,200.00,2000.00
Showroom,10 Pcs,200.00,2000.00
T-Channel Flat 7*2.44M Shining 01-3602,138 Pcs,45.06,6218.04
Showroom,138 Pcs,45.06,6218.04
T-Channel Stape Round 13x2.44M Shining 01-3605,17 Pcs,158.00,2686.00
